Aya Text,Sura Number,Sura Name,Aya Number,Number of Ayat,Aya Words,Aya Word Count,Aya Letter Count,Aya Sequ Order,Order,Sura Name EN,Place,Note
وإذا قيل لهم ءامنوا كما ءامن الناس قالوا أنؤمن كما ءامن السفهاء ألا إنهم هم السفهاء ولكن لا يعلمون,2,البقرة,13,286,"['وإذا', 'قيل', 'لهم', 'ءامنوا', 'كما', 'ءامن', 'الناس', 'قالوا', 'أنؤمن', 'كما', 'ءامن', 'السفهاء', 'ألا', 'إنهم', 'هم', 'السفهاء', 'ولكن', 'لا', 'يعلمون']",19,98,20,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وإذا لقوا الذين ءامنوا قالوا ءامنا وإذا خلوا إلى شيطينهم قالوا إنا معكم إنما نحن مستهزءون,2,البقرة,14,286,"['وإذا', 'لقوا', 'الذين', 'ءامنوا', 'قالوا', 'ءامنا', 'وإذا', 'خلوا', 'إلى', 'شيطينهم', 'قالوا', 'إنا', 'معكم', 'إنما', 'نحن', 'مستهزءون']",16,89,21,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
الله يستهزئ بهم ويمدهم فى طغينهم يعمهون,2,البقرة,15,286,"['الله', 'يستهزئ', 'بهم', 'ويمدهم', 'فى', 'طغينهم', 'يعمهون']",7,39,22,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
أولئك الذين اشتروا الضللة بالهدى فما ربحت تجرتهم وما كانوا مهتدين,2,البقرة,16,286,"['أولئك', 'الذين', 'اشتروا', 'الضللة', 'بالهدى', 'فما', 'ربحت', 'تجرتهم', 'وما', 'كانوا', 'مهتدين']",11,65,23,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
مثلهم كمثل الذى استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم فى ظلمت لا يبصرون,2,البقرة,17,286,"['مثلهم', 'كمثل', 'الذى', 'استوقد', 'نارا', 'فلما', 'أضاءت', 'ما', 'حوله', 'ذهب', 'الله', 'بنورهم', 'وتركهم', 'فى', 'ظلمت', 'لا', 'يبصرون']",17,87,24,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
صم بكم عمى فهم لا يرجعون,2,البقرة,18,286,"['صم', 'بكم', 'عمى', 'فهم', 'لا', 'يرجعون']",6,24,25,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
أو كصيب من السماء فيه ظلمت ورعد وبرق يجعلون أصبعهم فى ءاذانهم من الصوعق حذر الموت والله محيط بالكفرين,2,البقرة,19,286,"['أو', 'كصيب', 'من', 'السماء', 'فيه', 'ظلمت', 'ورعد', 'وبرق', 'يجعلون', 'أصبعهم', 'فى', 'ءاذانهم', 'من', 'الصوعق', 'حذر', 'الموت', 'والله', 'محيط', 'بالكفرين']",19,101,26,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
يكاد البرق يخطف أبصرهم كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وأبصرهم إن الله على كل شىء قدير,2,البقرة,20,286,"['يكاد', 'البرق', 'يخطف', 'أبصرهم', 'كلما', 'أضاء', 'لهم', 'مشوا', 'فيه', 'وإذا', 'أظلم', 'عليهم', 'قاموا', 'ولو', 'شاء', 'الله', 'لذهب', 'بسمعهم', 'وأبصرهم', 'إن', 'الله', 'على', 'كل', 'شىء', 'قدير']",25,124,27,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
يأيها الناس اعبدوا ربكم الذى خلقكم والذين من قبلكم لعلكم تتقون,2,البقرة,21,286,"['يأيها', 'الناس', 'اعبدوا', 'ربكم', 'الذى', 'خلقكم', 'والذين', 'من', 'قبلكم', 'لعلكم', 'تتقون']",11,62,28,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
الذى جعل لكم الأرض فرشا والسماء بناء وأنزل من السماء ماء فأخرج به من الثمرت رزقا لكم فلا تجعلوا لله أندادا وأنتم تعلمون,2,البقرة,22,286,"['الذى', 'جعل', 'لكم', 'الأرض', 'فرشا', 'والسماء', 'بناء', 'وأنزل', 'من', 'السماء', 'ماء', 'فأخرج', 'به', 'من', 'الثمرت', 'رزقا', 'لكم', 'فلا', 'تجعلوا', 'لله', 'أندادا', 'وأنتم', 'تعلمون']",23,119,29,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وإن كنتم فى ريب مما نزلنا على عبدنا فأتوا بسورة من مثله وادعوا شهداءكم من دون الله إن كنتم صدقين,2,البقرة,23,286,"['وإن', 'كنتم', 'فى', 'ريب', 'مما', 'نزلنا', 'على', 'عبدنا', 'فأتوا', 'بسورة', 'من', 'مثله', 'وادعوا', 'شهداءكم', 'من', 'دون', 'الله', 'إن', 'كنتم', 'صدقين']",20,96,30,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
فإن لم تفعلوا ولن تفعلوا فاتقوا النار التى وقودها الناس والحجارة أعدت للكفرين,2,البقرة,24,286,"['فإن', 'لم', 'تفعلوا', 'ولن', 'تفعلوا', 'فاتقوا', 'النار', 'التى', 'وقودها', 'الناس', 'والحجارة', 'أعدت', 'للكفرين']",13,77,31,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وبشر الذين ءامنوا وعملوا الصلحت أن لهم جنت تجرى من تحتها الأنهر كلما رزقوا منها من ثمرة رزقا قالوا هذا الذى رزقنا من قبل وأتوا به متشبها ولهم فيها أزوج مطهرة وهم فيها خلدون,2,البقرة,25,286,"['وبشر', 'الذين', 'ءامنوا', 'وعملوا', 'الصلحت', 'أن', 'لهم', 'جنت', 'تجرى', 'من', 'تحتها', 'الأنهر', 'كلما', 'رزقوا', 'منها', 'من', 'ثمرة', 'رزقا', 'قالوا', 'هذا', 'الذى', 'رزقنا', 'من', 'قبل', 'وأتوا', 'به', 'متشبها', 'ولهم', 'فيها', 'أزوج', 'مطهرة', 'وهم', 'فيها', 'خلدون']",34,172,32,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
إن الله لا يستحى أن يضرب مثلا ما بعوضة فما فوقها فأما الذين ءامنوا فيعلمون أنه الحق من ربهم وأما الذين كفروا فيقولون ماذا أراد الله بهذا مثلا يضل به كثيرا ويهدى به كثيرا وما يضل به إلا الفسقين,2,البقرة,26,286,"['إن', 'الله', 'لا', 'يستحى', 'أن', 'يضرب', 'مثلا', 'ما', 'بعوضة', 'فما', 'فوقها', 'فأما', 'الذين', 'ءامنوا', 'فيعلمون', 'أنه', 'الحق', 'من', 'ربهم', 'وأما', 'الذين', 'كفروا', 'فيقولون', 'ماذا', 'أراد', 'الله', 'بهذا', 'مثلا', 'يضل', 'به', 'كثيرا', 'ويهدى', 'به', 'كثيرا', 'وما', 'يضل', 'به', 'إلا', 'الفسقين']",39,192,33,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
الذين ينقضون عهد الله من بعد ميثقه ويقطعون ما أمر الله به أن يوصل ويفسدون فى الأرض أولئك هم الخسرون,2,البقرة,27,286,"['الذين', 'ينقضون', 'عهد', 'الله', 'من', 'بعد', 'ميثقه', 'ويقطعون', 'ما', 'أمر', 'الله', 'به', 'أن', 'يوصل', 'ويفسدون', 'فى', 'الأرض', 'أولئك', 'هم', 'الخسرون']",20,99,34,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
كيف تكفرون بالله وكنتم أموتا فأحيكم ثم يميتكم ثم يحييكم ثم إليه ترجعون,2,البقرة,28,286,"['كيف', 'تكفرون', 'بالله', 'وكنتم', 'أموتا', 'فأحيكم', 'ثم', 'يميتكم', 'ثم', 'يحييكم', 'ثم', 'إليه', 'ترجعون']",13,70,35,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
هو الذى خلق لكم ما فى الأرض جميعا ثم استوى إلى السماء فسوىهن سبع سموت وهو بكل شىء عليم,2,البقرة,29,286,"['هو', 'الذى', 'خلق', 'لكم', 'ما', 'فى', 'الأرض', 'جميعا', 'ثم', 'استوى', 'إلى', 'السماء', 'فسوىهن', 'سبع', 'سموت', 'وهو', 'بكل', 'شىء', 'عليم']",19,86,36,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وإذ قال ربك للملئكة إنى جاعل فى الأرض خليفة قالوا أتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك قال إنى أعلم ما لا تعلمون,2,البقرة,30,286,"['وإذ', 'قال', 'ربك', 'للملئكة', 'إنى', 'جاعل', 'فى', 'الأرض', 'خليفة', 'قالوا', 'أتجعل', 'فيها', 'من', 'يفسد', 'فيها', 'ويسفك', 'الدماء', 'ونحن', 'نسبح', 'بحمدك', 'ونقدس', 'لك', 'قال', 'إنى', 'أعلم', 'ما', 'لا', 'تعلمون']",28,137,37,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وعلم ءادم الأسماء كلها ثم عرضهم على الملئكة فقال أنبٔونى بأسماء هؤلاء إن كنتم صدقين,2,البقرة,31,286,"['وعلم', 'ءادم', 'الأسماء', 'كلها', 'ثم', 'عرضهم', 'على', 'الملئكة', 'فقال', 'أنبٔونى', 'بأسماء', 'هؤلاء', 'إن', 'كنتم', 'صدقين']",15,83,38,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
قالوا سبحنك لا علم لنا إلا ما علمتنا إنك أنت العليم الحكيم,2,البقرة,32,286,"['قالوا', 'سبحنك', 'لا', 'علم', 'لنا', 'إلا', 'ما', 'علمتنا', 'إنك', 'أنت', 'العليم', 'الحكيم']",12,58,39,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
قال ئادم أنبئهم بأسمائهم فلما أنبأهم بأسمائهم قال ألم أقل لكم إنى أعلم غيب السموت والأرض وأعلم ما تبدون وما كنتم تكتمون,2,البقرة,33,286,"['قال', 'ئادم', 'أنبئهم', 'بأسمائهم', 'فلما', 'أنبأهم', 'بأسمائهم', 'قال', 'ألم', 'أقل', 'لكم', 'إنى', 'أعلم', 'غيب', 'السموت', 'والأرض', 'وأعلم', 'ما', 'تبدون', 'وما', 'كنتم', 'تكتمون']",22,120,40,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وإذ قلنا للملئكة اسجدوا لءادم فسجدوا إلا إبليس أبى واستكبر وكان من الكفرين,2,البقرة,34,286,"['وإذ', 'قلنا', 'للملئكة', 'اسجدوا', 'لءادم', 'فسجدوا', 'إلا', 'إبليس', 'أبى', 'واستكبر', 'وكان', 'من', 'الكفرين']",13,74,41,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وقلنا ئادم اسكن أنت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجرة فتكونا من الظلمين,2,البقرة,35,286,"['وقلنا', 'ئادم', 'اسكن', 'أنت', 'وزوجك', 'الجنة', 'وكلا', 'منها', 'رغدا', 'حيث', 'شئتما', 'ولا', 'تقربا', 'هذه', 'الشجرة', 'فتكونا', 'من', 'الظلمين']",18,96,42,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
فأزلهما الشيطن عنها فأخرجهما مما كانا فيه وقلنا اهبطوا بعضكم لبعض عدو ولكم فى الأرض مستقر ومتع إلى حين,2,البقرة,36,286,"['فأزلهما', 'الشيطن', 'عنها', 'فأخرجهما', 'مما', 'كانا', 'فيه', 'وقلنا', 'اهبطوا', 'بعضكم', 'لبعض', 'عدو', 'ولكم', 'فى', 'الأرض', 'مستقر', 'ومتع', 'إلى', 'حين']",19,102,43,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
فتلقى ءادم من ربه كلمت فتاب عليه إنه هو التواب الرحيم,2,البقرة,37,286,"['فتلقى', 'ءادم', 'من', 'ربه', 'كلمت', 'فتاب', 'عليه', 'إنه', 'هو', 'التواب', 'الرحيم']",11,53,44,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
قلنا اهبطوا منها جميعا فإما يأتينكم منى هدى فمن تبع هداى فلا خوف عليهم ولا هم يحزنون,2,البقرة,38,286,"['قلنا', 'اهبطوا', 'منها', 'جميعا', 'فإما', 'يأتينكم', 'منى', 'هدى', 'فمن', 'تبع', 'هداى', 'فلا', 'خوف', 'عليهم', 'ولا', 'هم', 'يحزنون']",17,84,45,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
والذين كفروا وكذبوا بٔايتنا أولئك أصحب النار هم فيها خلدون,2,البقرة,39,286,"['والذين', 'كفروا', 'وكذبوا', 'بٔايتنا', 'أولئك', 'أصحب', 'النار', 'هم', 'فيها', 'خلدون']",10,58,46,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
يبنى إسرءيل اذكروا نعمتى التى أنعمت عليكم وأوفوا بعهدى أوف بعهدكم وإيى فارهبون,2,البقرة,40,286,"['يبنى', 'إسرءيل', 'اذكروا', 'نعمتى', 'التى', 'أنعمت', 'عليكم', 'وأوفوا', 'بعهدى', 'أوف', 'بعهدكم', 'وإيى', 'فارهبون']",13,78,47,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وءامنوا بما أنزلت مصدقا لما معكم ولا تكونوا أول كافر به ولا تشتروا بٔايتى ثمنا قليلا وإيى فاتقون,2,البقرة,41,286,"['وءامنوا', 'بما', 'أنزلت', 'مصدقا', 'لما', 'معكم', 'ولا', 'تكونوا', 'أول', 'كافر', 'به', 'ولا', 'تشتروا', 'بٔايتى', 'ثمنا', 'قليلا', 'وإيى', 'فاتقون']",18,96,48,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
ولا تلبسوا الحق بالبطل وتكتموا الحق وأنتم تعلمون,2,البقرة,42,286,"['ولا', 'تلبسوا', 'الحق', 'بالبطل', 'وتكتموا', 'الحق', 'وأنتم', 'تعلمون']",8,48,49,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وأقيموا الصلوة وءاتوا الزكوة واركعوا مع الركعين,2,البقرة,43,286,"['وأقيموا', 'الصلوة', 'وءاتوا', 'الزكوة', 'واركعوا', 'مع', 'الركعين']",7,47,50,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
أتأمرون الناس بالبر وتنسون أنفسكم وأنتم تتلون الكتب أفلا تعقلون,2,البقرة,44,286,"['أتأمرون', 'الناس', 'بالبر', 'وتنسون', 'أنفسكم', 'وأنتم', 'تتلون', 'الكتب', 'أفلا', 'تعقلون']",10,63,51,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
واستعينوا بالصبر والصلوة وإنها لكبيرة إلا على الخشعين,2,البقرة,45,286,"['واستعينوا', 'بالصبر', 'والصلوة', 'وإنها', 'لكبيرة', 'إلا', 'على', 'الخشعين']",8,53,52,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
الذين يظنون أنهم ملقوا ربهم وأنهم إليه رجعون,2,البقرة,46,286,"['الذين', 'يظنون', 'أنهم', 'ملقوا', 'ربهم', 'وأنهم', 'إليه', 'رجعون']",8,44,53,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
يبنى إسرءيل اذكروا نعمتى التى أنعمت عليكم وأنى فضلتكم على العلمين,2,البقرة,47,286,"['يبنى', 'إسرءيل', 'اذكروا', 'نعمتى', 'التى', 'أنعمت', 'عليكم', 'وأنى', 'فضلتكم', 'على', 'العلمين']",11,65,54,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
واتقوا يوما لا تجزى نفس عن نفس شئا ولا يقبل منها شفعة ولا يؤخذ منها عدل ولا هم ينصرون,2,البقرة,48,286,"['واتقوا', 'يوما', 'لا', 'تجزى', 'نفس', 'عن', 'نفس', 'شئا', 'ولا', 'يقبل', 'منها', 'شفعة', 'ولا', 'يؤخذ', 'منها', 'عدل', 'ولا', 'هم', 'ينصرون']",19,86,55,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وإذ نجينكم من ءال فرعون يسومونكم سوء العذاب يذبحون أبناءكم ويستحيون نساءكم وفى ذلكم بلاء من ربكم عظيم,2,البقرة,49,286,"['وإذ', 'نجينكم', 'من', 'ءال', 'فرعون', 'يسومونكم', 'سوء', 'العذاب', 'يذبحون', 'أبناءكم', 'ويستحيون', 'نساءكم', 'وفى', 'ذلكم', 'بلاء', 'من', 'ربكم', 'عظيم']",18,101,56,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وإذ فرقنا بكم البحر فأنجينكم وأغرقنا ءال فرعون وأنتم تنظرون,2,البقرة,50,286,"['وإذ', 'فرقنا', 'بكم', 'البحر', 'فأنجينكم', 'وأغرقنا', 'ءال', 'فرعون', 'وأنتم', 'تنظرون']",10,59,57,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وإذ وعدنا موسى أربعين ليلة ثم اتخذتم العجل من بعده وأنتم ظلمون,2,البقرة,51,286,"['وإذ', 'وعدنا', 'موسى', 'أربعين', 'ليلة', 'ثم', 'اتخذتم', 'العجل', 'من', 'بعده', 'وأنتم', 'ظلمون']",12,62,58,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
ثم عفونا عنكم من بعد ذلك لعلكم تشكرون,2,البقرة,52,286,"['ثم', 'عفونا', 'عنكم', 'من', 'بعد', 'ذلك', 'لعلكم', 'تشكرون']",8,37,59,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وإذ ءاتينا موسى الكتب والفرقان لعلكم تهتدون,2,البقرة,53,286,"['وإذ', 'ءاتينا', 'موسى', 'الكتب', 'والفرقان', 'لعلكم', 'تهتدون']",7,43,60,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وإذ قال موسى لقومه يقوم إنكم ظلمتم أنفسكم باتخاذكم العجل فتوبوا إلى بارئكم فاقتلوا أنفسكم ذلكم خير لكم عند بارئكم فتاب عليكم إنه هو التواب الرحيم,2,البقرة,54,286,"['وإذ', 'قال', 'موسى', 'لقومه', 'يقوم', 'إنكم', 'ظلمتم', 'أنفسكم', 'باتخاذكم', 'العجل', 'فتوبوا', 'إلى', 'بارئكم', 'فاقتلوا', 'أنفسكم', 'ذلكم', 'خير', 'لكم', 'عند', 'بارئكم', 'فتاب', 'عليكم', 'إنه', 'هو', 'التواب', 'الرحيم']",26,145,61,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وإذ قلتم يموسى لن نؤمن لك حتى نرى الله جهرة فأخذتكم الصعقة وأنتم تنظرون,2,البقرة,55,286,"['وإذ', 'قلتم', 'يموسى', 'لن', 'نؤمن', 'لك', 'حتى', 'نرى', 'الله', 'جهرة', 'فأخذتكم', 'الصعقة', 'وأنتم', 'تنظرون']",14,71,62,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
ثم بعثنكم من بعد موتكم لعلكم تشكرون,2,البقرة,56,286,"['ثم', 'بعثنكم', 'من', 'بعد', 'موتكم', 'لعلكم', 'تشكرون']",7,35,63,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وظللنا عليكم الغمام وأنزلنا عليكم المن والسلوى كلوا من طيبت ما رزقنكم وما ظلمونا ولكن كانوا أنفسهم يظلمون,2,البقرة,57,286,"['وظللنا', 'عليكم', 'الغمام', 'وأنزلنا', 'عليكم', 'المن', 'والسلوى', 'كلوا', 'من', 'طيبت', 'ما', 'رزقنكم', 'وما', 'ظلمونا', 'ولكن', 'كانوا', 'أنفسهم', 'يظلمون']",18,105,64,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وإذ قلنا ادخلوا هذه القرية فكلوا منها حيث شئتم رغدا وادخلوا الباب سجدا وقولوا حطة نغفر لكم خطيكم وسنزيد المحسنين,2,البقرة,58,286,"['وإذ', 'قلنا', 'ادخلوا', 'هذه', 'القرية', 'فكلوا', 'منها', 'حيث', 'شئتم', 'رغدا', 'وادخلوا', 'الباب', 'سجدا', 'وقولوا', 'حطة', 'نغفر', 'لكم', 'خطيكم', 'وسنزيد', 'المحسنين']",20,112,65,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
فبدل الذين ظلموا قولا غير الذى قيل لهم فأنزلنا على الذين ظلموا رجزا من السماء بما كانوا يفسقون,2,البقرة,59,286,"['فبدل', 'الذين', 'ظلموا', 'قولا', 'غير', 'الذى', 'قيل', 'لهم', 'فأنزلنا', 'على', 'الذين', 'ظلموا', 'رجزا', 'من', 'السماء', 'بما', 'كانوا', 'يفسقون']",18,94,66,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وإذ استسقى موسى لقومه فقلنا اضرب بعصاك الحجر فانفجرت منه اثنتا عشرة عينا قد علم كل أناس مشربهم كلوا واشربوا من رزق الله ولا تعثوا فى الأرض مفسدين,2,البقرة,60,286,"['وإذ', 'استسقى', 'موسى', 'لقومه', 'فقلنا', 'اضرب', 'بعصاك', 'الحجر', 'فانفجرت', 'منه', 'اثنتا', 'عشرة', 'عينا', 'قد', 'علم', 'كل', 'أناس', 'مشربهم', 'كلوا', 'واشربوا', 'من', 'رزق', 'الله', 'ولا', 'تعثوا', 'فى', 'الأرض', 'مفسدين']",28,145,67,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وإذ قلتم يموسى لن نصبر على طعام وحد فادع لنا ربك يخرج لنا مما تنبت الأرض من بقلها وقثائها وفومها وعدسها وبصلها قال أتستبدلون الذى هو أدنى بالذى هو خير اهبطوا مصرا فإن لكم ما سألتم وضربت عليهم الذلة والمسكنة وباءو بغضب من الله ذلك بأنهم كانوا يكفرون بٔايت الله ويقتلون النبين بغير الحق ذلك بما عصوا وكانوا يعتدون,2,البقرة,61,286,"['وإذ', 'قلتم', 'يموسى', 'لن', 'نصبر', 'على', 'طعام', 'وحد', 'فادع', 'لنا', 'ربك', 'يخرج', 'لنا', 'مما', 'تنبت', 'الأرض', 'من', 'بقلها', 'وقثائها', 'وفومها', 'وعدسها', 'وبصلها', 'قال', 'أتستبدلون', 'الذى', 'هو', 'أدنى', 'بالذى', 'هو', 'خير', 'اهبطوا', 'مصرا', 'فإن', 'لكم', 'ما', 'سألتم', 'وضربت', 'عليهم', 'الذلة', 'والمسكنة', 'وباءو', 'بغضب', 'من', 'الله', 'ذلك', 'بأنهم', 'كانوا', 'يكفرون', 'بٔايت', 'الله', 'ويقتلون', 'النبين', 'بغير', 'الحق', 'ذلك', 'بما', 'عصوا', 'وكانوا', 'يعتدون']",59,311,68,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
